a0:18:28:33:34:f8,2017-08-15 06.57.06,2017-08-15 07.21.03
a0:18:28:33:34:f8,2017-08-15 14.30.57,2017-08-15 14.50.06
ec:4f:82:73:d1:1a,2017-08-15 06.57.06,2017-08-15 16.43.57
b4:75:0e:0d:33:d5,2017-08-15 06.57.20,2017-08-15 16.43.57
ec:4f:82:73:d1:1c,2017-08-15 06.57.06,2017-08-15 16.43.57
b4:75:0e:0d:94:65,2017-08-15 06.57.20,2017-08-15 16.43.57
14:91:82:c8:6a:09,2017-08-15 06.57.15,2017-08-15 16.43.57
b8:27:eb:09:1a:81,2017-08-15 06.57.06,2017-08-15 16.43.57
ec:1a:59:e4:fd:41,2017-08-15 06.57.09,2017-08-15 16.43.57
14:91:82:24:dd:35,2017-08-15 06.57.20,2017-08-15 16.43.57
08:66:98:ed:1e:19,2017-08-15 06.57.31,2017-08-15 16.43.57
ec:1a:59:f1:fb:21,2017-08-15 06.57.11,2017-08-15 16.43.57
94:10:3e:2b:7a:55,2017-08-15 06.57.20,2017-08-15 16.43.57
a0:18:28:33:34:f8,2017-08-15 15.53.06,2017-08-15 16.43.57
60:38:e0:ee:7c:e5,2017-08-15 06.57.08,2017-08-15 16.43.57
